delivery_period_CET,price_EUR_per_MWh
00:00 - 00:15,25.97
00:15 - 00:30,25.97
00:30 - 00:45,25.76
00:45 - 01:00,26.55
01:00 - 01:15,26.64
01:15 - 01:30,26.55
01:30 - 01:45,26.6
01:45 - 02:00,27.39
02:00 - 02:15,27.23
02:15 - 02:30,27.52
02:30 - 02:45,27.31
02:45 - 03:00,27.77
03:00 - 03:15,27.9
03:15 - 03:30,28.4
03:30 - 03:45,30.42
03:45 - 04:00,31.76
04:00 - 04:15,32.39
04:15 - 04:30,34.87
04:30 - 04:45,39.08
04:45 - 05:00,32.39
05:00 - 05:15,33.4
05:15 - 05:30,34.62
05:30 - 05:45,39.41
05:45 - 06:00,32.39
06:00 - 06:15,32.39
06:15 - 06:30,32.94
06:30 - 06:45,34.12
06:45 - 07:00,33.36
07:00 - 07:15,35.04
07:15 - 07:30,39.33
07:30 - 07:45,39.41
07:45 - 08:00,39.41
08:00 - 08:15,40.46
08:15 - 08:30,40.84
08:30 - 08:45,41.34
08:45 - 09:00,42.65
09:00 - 09:15,45.97
09:15 - 09:30,50.59
09:30 - 09:45,52.48
09:45 - 10:00,50.71
10:00 - 10:15,49.87
10:15 - 10:30,50.08
10:30 - 10:45,48.66
10:45 - 11:00,45.25
11:00 - 11:15,46.72
11:15 - 11:30,50.5
11:30 - 11:45,50.5
11:45 - 12:00,46.81
12:00 - 12:15,46.89
12:15 - 12:30,50.59
12:30 - 12:45,51.55
12:45 - 13:00,47.82
13:00 - 13:15,45.46
13:15 - 13:30,49.08
13:30 - 13:45,51.39
13:45 - 14:00,48.99
14:00 - 14:15,47.31
14:15 - 14:30,49.41
14:30 - 14:45,50.88
14:45 - 15:00,49.12
15:00 - 15:15,47.77
15:15 - 15:30,50.5
15:30 - 15:45,50.5
15:45 - 16:00,48.66
16:00 - 16:15,46.47
16:15 - 16:30,47.98
16:30 - 16:45,49.92
16:45 - 17:00,52.44
17:00 - 17:15,52.44
17:15 - 17:30,50.38
17:30 - 17:45,52.44
17:45 - 18:00,52.44
18:00 - 18:15,52.52
18:15 - 18:30,53.28
18:30 - 18:45,53.82
18:45 - 19:00,53.66
19:00 - 19:15,52.52
19:15 - 19:30,53.87
19:30 - 19:45,54.33
19:45 - 20:00,52.52
20:00 - 20:15,52.48
20:15 - 20:30,52.52
20:30 - 20:45,52.52
20:45 - 21:00,52.52
21:00 - 21:15,52.52
21:15 - 21:30,52.52
21:30 - 21:45,54.33
21:45 - 22:00,52.52
22:00 - 22:15,54.33
22:15 - 22:30,54.33
22:30 - 22:45,54.33
22:45 - 23:00,54.33
23:00 - 23:15,54.2
23:15 - 23:30,54.33
23:30 - 23:45,52.52
23:45 - 00:00,50.46
