# Renewables.ninja Wind power (Point API) - 68.450, 17.390 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Paris, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Paris"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""68.45"""," ""lon"": ""17.39"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""32.2"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity,,,,,,,,,,,
1/1/2019 0:00,1/1/2019 1:00,1.197,,,,,,,,,,,
1/1/2019 1:00,1/1/2019 2:00,2.126,,,,,,,,,,,
1/1/2019 2:00,1/1/2019 3:00,3.807,,,,,,,,,,,
1/1/2019 3:00,1/1/2019 4:00,5.295,,,,,,,,,,,
1/1/2019 4:00,1/1/2019 5:00,7.43,,,,,,,,,,,
1/1/2019 5:00,1/1/2019 6:00,9.513,,,,,,,,,,,
1/1/2019 6:00,1/1/2019 7:00,10.388,,,,,,,,,,,
1/1/2019 7:00,1/1/2019 8:00,10.02,,,,,,,,,,,
1/1/2019 8:00,1/1/2019 9:00,12.752,,,,,,,,,,,
1/1/2019 9:00,1/1/2019 10:00,16.637,,,,,,,,,,,
1/1/2019 10:00,1/1/2019 11:00,20.136,,,,,,,,,,,
1/1/2019 11:00,1/1/2019 12:00,21.413,,,,,,,,,,,
1/1/2019 12:00,1/1/2019 13:00,21.729,,,,,,,,,,,
1/1/2019 13:00,1/1/2019 14:00,22.985,,,,,,,,,,,
1/1/2019 14:00,1/1/2019 15:00,20.196,,,,,,,,,,,
1/1/2019 15:00,1/1/2019 16:00,15.06,,,,,,,,,,,
1/1/2019 16:00,1/1/2019 17:00,8.549,,,,,,,,,,,
1/1/2019 17:00,1/1/2019 18:00,5.598,,,,,,,,,,,
1/1/2019 18:00,1/1/2019 19:00,5.938,,,,,,,,,,,
1/1/2019 19:00,1/1/2019 20:00,9.04,,,,,,,,,,,
1/1/2019 20:00,1/1/2019 21:00,13.664,,,,,,,,,,,
1/1/2019 21:00,1/1/2019 22:00,14.449,,,,,,,,,,,
1/1/2019 22:00,1/1/2019 23:00,13.524,,,,,,,,,,,
1/1/2019 23:00,1/2/2019 0:00,12.686,,,,,,,,,,,
1/2/2019 0:00,1/2/2019 1:00,12.895,,,,,,,,,,,
1/2/2019 1:00,1/2/2019 2:00,13.115,,,,,,,,,,,
1/2/2019 2:00,1/2/2019 3:00,12.411,,,,,,,,,,,
1/2/2019 3:00,1/2/2019 4:00,10.837,,,,,,,,,,,
1/2/2019 4:00,1/2/2019 5:00,9.927,,,,,,,,,,,
1/2/2019 5:00,1/2/2019 6:00,8.796,,,,,,,,,,,
1/2/2019 6:00,1/2/2019 7:00,8.252,,,,,,,,,,,
1/2/2019 7:00,1/2/2019 8:00,8.466,,,,,,,,,,,
1/2/2019 8:00,1/2/2019 9:00,8.298,,,,,,,,,,,
1/2/2019 9:00,1/2/2019 10:00,7.712,,,,,,,,,,,
1/2/2019 10:00,1/2/2019 11:00,6.751,,,,,,,,,,,
1/2/2019 11:00,1/2/2019 12:00,5.68,,,,,,,,,,,
1/2/2019 12:00,1/2/2019 13:00,4.447,,,,,,,,,,,
1/2/2019 13:00,1/2/2019 14:00,3.626,,,,,,,,,,,
1/2/2019 14:00,1/2/2019 15:00,3.212,,,,,,,,,,,
1/2/2019 15:00,1/2/2019 16:00,2.545,,,,,,,,,,,
1/2/2019 16:00,1/2/2019 17:00,1.961,,,,,,,,,,,
1/2/2019 17:00,1/2/2019 18:00,1.73,,,,,,,,,,,
1/2/2019 18:00,1/2/2019 19:00,2.247,,,,,,,,,,,
1/2/2019 19:00,1/2/2019 20:00,3.26,,,,,,,,,,,
1/2/2019 20:00,1/2/2019 21:00,4.016,,,,,,,,,,,
1/2/2019 21:00,1/2/2019 22:00,4.443,,,,,,,,,,,
1/2/2019 22:00,1/2/2019 23:00,4.922,,,,,,,,,,,
1/2/2019 23:00,1/3/2019 0:00,6.172,,,,,,,,,,,
1/3/2019 0:00,1/3/2019 1:00,7.182,,,,,,,,,,,
1/3/2019 1:00,1/3/2019 2:00,8.837,,,,,,,,,,,
1/3/2019 2:00,1/3/2019 3:00,10.47,,,,,,,,,,,
1/3/2019 3:00,1/3/2019 4:00,12.202,,,,,,,,,,,
1/3/2019 4:00,1/3/2019 5:00,13.686,,,,,,,,,,,
1/3/2019 5:00,1/3/2019 6:00,14.043,,,,,,,,,,,
1/3/2019 6:00,1/3/2019 7:00,14.377,,,,,,,,,,,
1/3/2019 7:00,1/3/2019 8:00,15.027,,,,,,,,,,,
1/3/2019 8:00,1/3/2019 9:00,15.503,,,,,,,,,,,
1/3/2019 9:00,1/3/2019 10:00,15.813,,,,,,,,,,,
1/3/2019 10:00,1/3/2019 11:00,15.725,,,,,,,,,,,
1/3/2019 11:00,1/3/2019 12:00,15.359,,,,,,,,,,,
1/3/2019 12:00,1/3/2019 13:00,14.873,,,,,,,,,,,
1/3/2019 13:00,1/3/2019 14:00,20.773,,,,,,,,,,,
1/3/2019 14:00,1/3/2019 15:00,21.367,,,,,,,,,,,
1/3/2019 15:00,1/3/2019 16:00,17.788,,,,,,,,,,,
1/3/2019 16:00,1/3/2019 17:00,15.817,,,,,,,,,,,
1/3/2019 17:00,1/3/2019 18:00,14.235,,,,,,,,,,,
1/3/2019 18:00,1/3/2019 19:00,13.859,,,,,,,,,,,
1/3/2019 19:00,1/3/2019 20:00,15.622,,,,,,,,,,,
1/3/2019 20:00,1/3/2019 21:00,15.414,,,,,,,,,,,
1/3/2019 21:00,1/3/2019 22:00,15.114,,,,,,,,,,,
1/3/2019 22:00,1/3/2019 23:00,14.319,,,,,,,,,,,
1/3/2019 23:00,1/4/2019 0:00,13.247,,,,,,,,,,,
1/4/2019 0:00,1/4/2019 1:00,11.126,,,,,,,,,,,
1/4/2019 1:00,1/4/2019 2:00,8.759,,,,,,,,,,,
1/4/2019 2:00,1/4/2019 3:00,7.033,,,,,,,,,,,
1/4/2019 3:00,1/4/2019 4:00,5.746,,,,,,,,,,,
1/4/2019 4:00,1/4/2019 5:00,4.637,,,,,,,,,,,
1/4/2019 5:00,1/4/2019 6:00,4.282,,,,,,,,,,,
1/4/2019 6:00,1/4/2019 7:00,3.294,,,,,,,,,,,
1/4/2019 7:00,1/4/2019 8:00,2.47,,,,,,,,,,,
1/4/2019 8:00,1/4/2019 9:00,2.053,,,,,,,,,,,
1/4/2019 9:00,1/4/2019 10:00,1.861,,,,,,,,,,,
1/4/2019 10:00,1/4/2019 11:00,1.861,,,,,,,,,,,
1/4/2019 11:00,1/4/2019 12:00,1.989,,,,,,,,,,,
1/4/2019 12:00,1/4/2019 13:00,1.917,,,,,,,,,,,
1/4/2019 13:00,1/4/2019 14:00,1.714,,,,,,,,,,,
1/4/2019 14:00,1/4/2019 15:00,1.477,,,,,,,,,,,
1/4/2019 15:00,1/4/2019 16:00,1.377,,,,,,,,,,,
1/4/2019 16:00,1/4/2019 17:00,1.326,,,,,,,,,,,
1/4/2019 17:00,1/4/2019 18:00,1.292,,,,,,,,,,,
1/4/2019 18:00,1/4/2019 19:00,1.275,,,,,,,,,,,
1/4/2019 19:00,1/4/2019 20:00,1.231,,,,,,,,,,,
1/4/2019 20:00,1/4/2019 21:00,1.221,,,,,,,,,,,
1/4/2019 21:00,1/4/2019 22:00,1.451,,,,,,,,,,,
1/4/2019 22:00,1/4/2019 23:00,1.64,,,,,,,,,,,
1/4/2019 23:00,1/5/2019 0:00,1.84,,,,,,,,,,,
1/5/2019 0:00,1/5/2019 1:00,2.234,,,,,,,,,,,
1/5/2019 1:00,1/5/2019 2:00,2.694,,,,,,,,,,,
1/5/2019 2:00,1/5/2019 3:00,2.986,,,,,,,,,,,
1/5/2019 3:00,1/5/2019 4:00,2.76,,,,,,,,,,,
1/5/2019 4:00,1/5/2019 5:00,2.633,,,,,,,,,,,
1/5/2019 5:00,1/5/2019 6:00,2.775,,,,,,,,,,,
1/5/2019 6:00,1/5/2019 7:00,2.892,,,,,,,,,,,
1/5/2019 7:00,1/5/2019 8:00,2.737,,,,,,,,,,,
1/5/2019 8:00,1/5/2019 9:00,2.848,,,,,,,,,,,
1/5/2019 9:00,1/5/2019 10:00,3.224,,,,,,,,,,,
1/5/2019 10:00,1/5/2019 11:00,4.395,,,,,,,,,,,
1/5/2019 11:00,1/5/2019 12:00,5.507,,,,,,,,,,,
1/5/2019 12:00,1/5/2019 13:00,6.19,,,,,,,,,,,
1/5/2019 13:00,1/5/2019 14:00,6.802,,,,,,,,,,,
1/5/2019 14:00,1/5/2019 15:00,7.622,,,,,,,,,,,
1/5/2019 15:00,1/5/2019 16:00,8.759,,,,,,,,,,,
1/5/2019 16:00,1/5/2019 17:00,8.928,,,,,,,,,,,
1/5/2019 17:00,1/5/2019 18:00,8.16,,,,,,,,,,,
1/5/2019 18:00,1/5/2019 19:00,6.566,,,,,,,,,,,
1/5/2019 19:00,1/5/2019 20:00,7.763,,,,,,,,,,,
1/5/2019 20:00,1/5/2019 21:00,9.303,,,,,,,,,,,
1/5/2019 21:00,1/5/2019 22:00,9.555,,,,,,,,,,,
1/5/2019 22:00,1/5/2019 23:00,10.167,,,,,,,,,,,
1/5/2019 23:00,1/6/2019 0:00,11.814,,,,,,,,,,,
1/6/2019 0:00,1/6/2019 1:00,12.697,,,,,,,,,,,
1/6/2019 1:00,1/6/2019 2:00,13.716,,,,,,,,,,,
1/6/2019 2:00,1/6/2019 3:00,14.678,,,,,,,,,,,
1/6/2019 3:00,1/6/2019 4:00,14.616,,,,,,,,,,,
1/6/2019 4:00,1/6/2019 5:00,14.848,,,,,,,,,,,
1/6/2019 5:00,1/6/2019 6:00,13.026,,,,,,,,,,,
1/6/2019 6:00,1/6/2019 7:00,12.123,,,,,,,,,,,
1/6/2019 7:00,1/6/2019 8:00,12.109,,,,,,,,,,,
1/6/2019 8:00,1/6/2019 9:00,13.51,,,,,,,,,,,
1/6/2019 9:00,1/6/2019 10:00,15.134,,,,,,,,,,,
1/6/2019 10:00,1/6/2019 11:00,16.294,,,,,,,,,,,
1/6/2019 11:00,1/6/2019 12:00,22.436,,,,,,,,,,,
1/6/2019 12:00,1/6/2019 13:00,22.09,,,,,,,,,,,
