# Renewables.ninja Wind power (Point API) - 68.504, 17.889 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, wind_speed in m/s,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Paris"""," ""electricity"": ""kW"""," ""wind_speed"": ""m/s""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""68.50390159087434"""," ""lon"": ""17.889360554624993"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""32200"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""true""}}"
time,local_time,electricity,wind_speed,,,,,,,,,,,
1/1/2019 0:00,1/1/2019 1:00,1138.596,3.514,,,,,,,,,,,
1/1/2019 1:00,1/1/2019 2:00,2045.741,4.083,,,,,,,,,,,
1/1/2019 2:00,1/1/2019 3:00,3849.732,4.913,,,,,,,,,,,
1/1/2019 3:00,1/1/2019 4:00,5545.222,5.52,,,,,,,,,,,
1/1/2019 4:00,1/1/2019 5:00,7540.391,6.121,,,,,,,,,,,
1/1/2019 5:00,1/1/2019 6:00,9060.387,6.528,,,,,,,,,,,
1/1/2019 6:00,1/1/2019 7:00,9381.364,6.605,,,,,,,,,,,
1/1/2019 7:00,1/1/2019 8:00,8835.652,6.465,,,,,,,,,,,
1/1/2019 8:00,1/1/2019 9:00,10762.759,6.95,,,,,,,,,,,
1/1/2019 9:00,1/1/2019 10:00,13752.402,7.638,,,,,,,,,,,
1/1/2019 10:00,1/1/2019 11:00,16978.841,8.374,,,,,,,,,,,
1/1/2019 11:00,1/1/2019 12:00,18218.378,8.66,,,,,,,,,,,
1/1/2019 12:00,1/1/2019 13:00,18389.531,8.7,,,,,,,,,,,
1/1/2019 13:00,1/1/2019 14:00,20831.105,9.293,,,,,,,,,,,
1/1/2019 14:00,1/1/2019 15:00,19023.678,8.85,,,,,,,,,,,
1/1/2019 15:00,1/1/2019 16:00,15076.786,7.944,,,,,,,,,,,
1/1/2019 16:00,1/1/2019 17:00,9165.52,6.555,,,,,,,,,,,
1/1/2019 17:00,1/1/2019 18:00,5858.284,5.621,,,,,,,,,,,
1/1/2019 18:00,1/1/2019 19:00,5830.142,5.612,,,,,,,,,,,
1/1/2019 19:00,1/1/2019 20:00,8560.175,6.398,,,,,,,,,,,
1/1/2019 20:00,1/1/2019 21:00,12667.173,7.389,,,,,,,,,,,
1/1/2019 21:00,1/1/2019 22:00,14043.418,7.711,,,,,,,,,,,
1/1/2019 22:00,1/1/2019 23:00,13601.718,7.61,,,,,,,,,,,
1/1/2019 23:00,1/2/2019 0:00,12966.853,7.466,,,,,,,,,,,
1/2/2019 0:00,1/2/2019 1:00,13394.035,7.563,,,,,,,,,,,
1/2/2019 1:00,1/2/2019 2:00,14014.592,7.704,,,,,,,,,,,
1/2/2019 2:00,1/2/2019 3:00,13926.94,7.684,,,,,,,,,,,
1/2/2019 3:00,1/2/2019 4:00,12720.879,7.4,,,,,,,,,,,
1/2/2019 4:00,1/2/2019 5:00,11773.416,7.185,,,,,,,,,,,
1/2/2019 5:00,1/2/2019 6:00,10306.156,6.835,,,,,,,,,,,
1/2/2019 6:00,1/2/2019 7:00,9204.09,6.565,,,,,,,,,,,
1/2/2019 7:00,1/2/2019 8:00,8939.333,6.487,,,,,,,,,,,
1/2/2019 8:00,1/2/2019 9:00,8429.81,6.362,,,,,,,,,,,
1/2/2019 9:00,1/2/2019 10:00,7762.317,6.181,,,,,,,,,,,
1/2/2019 10:00,1/2/2019 11:00,6860.817,5.927,,,,,,,,,,,
1/2/2019 11:00,1/2/2019 12:00,5796.169,5.601,,,,,,,,,,,
1/2/2019 12:00,1/2/2019 13:00,4791.898,5.265,,,,,,,,,,,
1/2/2019 13:00,1/2/2019 14:00,4002.047,4.973,,,,,,,,,,,
1/2/2019 14:00,1/2/2019 15:00,3656.438,4.836,,,,,,,,,,,
1/2/2019 15:00,1/2/2019 16:00,3099.014,4.599,,,,,,,,,,,
1/2/2019 16:00,1/2/2019 17:00,2507.152,4.323,,,,,,,,,,,
1/2/2019 17:00,1/2/2019 18:00,2160.582,4.136,,,,,,,,,,,
1/2/2019 18:00,1/2/2019 19:00,2332.876,4.235,,,,,,,,,,,
1/2/2019 19:00,1/2/2019 20:00,3073.716,4.588,,,,,,,,,,,
1/2/2019 20:00,1/2/2019 21:00,3695.986,4.852,,,,,,,,,,,
1/2/2019 21:00,1/2/2019 22:00,4035.577,4.986,,,,,,,,,,,
1/2/2019 22:00,1/2/2019 23:00,4343.013,5.102,,,,,,,,,,,
1/2/2019 23:00,1/3/2019 0:00,5138.414,5.385,,,,,,,,,,,
1/3/2019 0:00,1/3/2019 1:00,5869.823,5.625,,,,,,,,,,,
1/3/2019 1:00,1/3/2019 2:00,7026.54,5.965,,,,,,,,,,,
1/3/2019 2:00,1/3/2019 3:00,8491.693,6.372,,,,,,,,,,,
1/3/2019 3:00,1/3/2019 4:00,10179.089,6.809,,,,,,,,,,,
1/3/2019 4:00,1/3/2019 5:00,11636.838,7.149,,,,,,,,,,,
1/3/2019 5:00,1/3/2019 6:00,12294.607,7.311,,,,,,,,,,,
1/3/2019 6:00,1/3/2019 7:00,12770.67,7.416,,,,,,,,,,,
1/3/2019 7:00,1/3/2019 8:00,13326.03,7.548,,,,,,,,,,,
1/3/2019 8:00,1/3/2019 9:00,13686.05,7.624,,,,,,,,,,,
1/3/2019 9:00,1/3/2019 10:00,14277.074,7.757,,,,,,,,,,,
1/3/2019 10:00,1/3/2019 11:00,14511.701,7.816,,,,,,,,,,,
1/3/2019 11:00,1/3/2019 12:00,14485.284,7.811,,,,,,,,,,,
1/3/2019 12:00,1/3/2019 13:00,14399.641,7.791,,,,,,,,,,,
1/3/2019 13:00,1/3/2019 14:00,20991.084,9.334,,,,,,,,,,,
1/3/2019 14:00,1/3/2019 15:00,21813.562,9.549,,,,,,,,,,,
1/3/2019 15:00,1/3/2019 16:00,18602.529,8.748,,,,,,,,,,,
1/3/2019 16:00,1/3/2019 17:00,17701.178,8.537,,,,,,,,,,,
