start_time,end_time,price_EUR_per_MWh
0:00,0:15,26.05
0:15,0:30,25.95
0:30,0:45,25.92
0:45,1:00,25.74
1:00,1:15,26.53
1:15,1:30,26.63
1:30,1:45,26.56
1:45,2:00,26.59
2:00,2:15,27.36
2:15,2:30,27.23
2:30,2:45,27.5
2:45,3:00,27.3
3:00,3:15,27.75
3:15,3:30,27.86
3:30,3:45,28.41
3:45,4:00,30.42
4:00,4:15,31.76
4:15,4:30,32.39
4:30,4:45,34.84
4:45,5:00,39.05
5:00,5:15,32.39
5:15,5:30,33.39
5:30,5:45,34.58
5:45,6:00,39.38
6:00,6:15,32.39
6:15,6:30,32.39
6:30,6:45,32.94
6:45,7:00,34.11
7:00,7:15,33.35
7:15,7:30,35.05
7:30,7:45,39.33
7:45,8:00,39.39
8:00,8:15,39.38
8:15,8:30,40.8
8:30,8:45,40.84
8:45,9:00,41.41
9:00,9:15,43.41
9:15,9:30,48.39
9:30,9:45,52.48
9:45,10:00,52.49
10:00,10:15,48.98
10:15,10:30,50.48
10:30,10:45,49.73
10:45,11:00,47.59
11:00,11:15,43.14
11:15,11:30,50.48
11:30,11:45,50.48
11:45,12:00,50.48
12:00,12:15,43.15
12:15,12:30,50.63
12:30,12:45,50.48
12:45,13:00,52.51
13:00,13:15,43.2
13:15,13:30,47.75
13:30,13:45,50.48
13:45,14:00,52.46
14:00,14:15,45.47
14:15,14:30,49.25
14:30,14:45,49.62
14:45,15:00,52.44
15:00,15:15,45.35
15:15,15:30,50.48
15:30,15:45,50.48
15:45,16:00,50.48
16:00,16:15,46.47
16:15,16:30,47.97
16:30,16:45,49.9
16:45,17:00,52.46
17:00,17:15,52.44
17:15,17:30,50.38
17:30,17:45,52.44
17:45,18:00,52.45
18:00,18:15,52.51
18:15,18:30,53.31
18:30,18:45,53.82
18:45,19:00,53.65
19:00,19:15,52.5
19:15,19:30,53.89
19:30,19:45,54.33
19:45,20:00,52.53
20:00,20:15,52.49
20:15,20:30,52.51
20:30,20:45,52.53
20:45,21:00,52.53
21:00,21:15,52.53
21:15,21:30,52.53
21:30,21:45,54.33
21:45,22:00,52.53
22:00,22:15,54.33
22:15,22:30,54.33
22:30,22:45,54.33
22:45,23:00,54.33
23:00,23:15,54.2
23:15,23:30,54.33
23:30,23:45,52.53
23:45,0:00,50.46
